bo,truoc,sau
丂,,
与,丂,丁
丁,与,工
工,丁,丑
丑,工,雲
雲,丑,並
並,雲,奴
奴,並,亢
亢,奴,亦
亦,亢,赤
赤,亦,从
从,赤,前
前,从,亼
亼,前,兄
兄,亼,兑
兑,兄,lại là em
lại là em,兑,em khăn
em khăn,lại là em,em nước
em nước,em khăn,ba đêm
ba đêm,em nước,七
七,ba đêm,万
万,七,三
三,万,上
上,三,不
不,上,且
且,不,世
世,且,丘
丘,世,兵
兵,丘,心
心,兵,丙
丙,心,丞
丞,丙,両
両,丞,đánh một người
đánh một người,両,丩
丩,đánh một người,中
中,丩,串
串,中,水
水,串,永
永,水,丸
丸,永,vùng đất hình tròn phía trước
vùng đất hình tròn phía trước,丸,王
王,vùng đất hình tròn phía trước,主
主,王,乂
乂,主,chặt cây
chặt cây,乂,父
父,chặt cây,乃
乃,父,秀
秀,乃,及
及,秀,久
久,及,乇
乇,久,之
之,乇,乍
乍,之,乗
乗,乍,乚
乚,乗,九
九,乚,乙
乙,九,也
也,乙,争
争,也,二
二,争,于
于,二,余
余,于,云
云,余,井
井,云,旦
旦,井,亘
亘,旦,亜
亜,亘,亟
亟,亜,京
京,亟,亡
亡,京,交
交,亡,亥
亥,交,享
享,亥,亭
亭,享,今
今,亭,介
介,今,付
付,介,令
令,付,以
以,令,任
任,以,伐
伐,任,会
会,伐,何
何,会,侖
侖,何,侯
侯,侖,保
保,侯,倉
倉,保,YẾM
YẾM,倉,允
允,YẾM,元
元,允,充
充,元,兆
兆,充,先
先,兆,光
光,先,免
免,光,入
入,免,全
全,入,兪
兪,全,18 nhân 3
18 nhân 3,兪,公
公,18 nhân 3,六
六,公,共
共,六,2 chồng trên
2 chồng trên,共,2 trời
2 trời,2 chồng trên,cái thang có chân
cái thang có chân,2 trời,具
具,cái thang có chân,兼
兼,具,内
内,兼,冊
冊,内,冒
冒,冊,冓
冓,冒,糸
糸,冓,冗
冗,糸,冘
冘,冗,冬
冬,冘,几
几,冬,凡
凡,几,処
処,凡,凶
凶,処,出
出,凶,刀
刀,出,分
分,刀,切
切,分,列
列,切,利
利,列,到
到,利,制
制,到,則
則,制,力
力,則,加
加,力,勇
勇,加,動
動,勇,務
務,動,勹
勹,務,勺
勺,勹,勿
勿,勺,匂
匂,勿,包
包,匂,匕
匕,包,北
北,匕,区
区,北,十
十,区,千
千,十,卆
卆,千,升
升,卆,午
午,升,卉
卉,午,半
半,卉,卑
卑,半,卓
卓,卑,南
南,卓,単
単,南,卜
卜,単,占
占,卜,卩
卩,占,LẠI LÀ P
LẠI LÀ P,卩,卬
卬,LẠI LÀ P,卯
卯,卬,即
即,卯,却
却,即,卸
卸,却,厄
厄,卸,原
原,厄,厶
厶,原,去
去,厶,参
参,去,又
又,参,友
友,又,反
反,友,trên nhỏ
trên nhỏ,反,取
取,trên nhỏ,受
受,取,叚
叚,受,古
古,叚,句
句,古,召
召,句,可
可,召,台
台,可,司
司,台,名
名,司,各
各,名,客
客,各,合
合,客,吉
吉,合,同
同,吉,史
史,同,君
君,史,呂
呂,君,呈
呈,呂,呉
呉,呈,告
告,呉,周
周,告,咨
咨,周,咼
咼,咨,品
品,咼,員
員,品,唐
唐,員,啇
啇,唐,善
善,啇,喬
喬,善,囗
囗,喬,回
回,囗,因
因,回,固
固,因,土
土,固,圣
圣,土,圥
圥,圣,圭
圭,圥,坐
坐,圭,垂
垂,坐,執
執,垂,堇
堇,執,士
士,堇,壬
壬,士,壮
壮,壬,売
売,壮,壴
壴,売,夆
夆,壴,夋
夋,夆,复
复,夋,夕
夕,复,多
多,夕,夜
夜,多,大
大,夜,天
天,大,夭
夭,天,夫
夫,夭,太
太,夫,夬
夬,太,央
央,夬,失
失,央,2 chồng giữa
2 chồng giữa,失,奇
奇,2 chồng giữa,奉
奉,奇,奐
奐,奉,契
契,奐,女
女,契,妻
妻,女,委
委,妻,了
了,委,子
子,了,予
予,子,孚
孚,予,孝
孝,孚,孫
孫,孝,守
守,孫,安
安,守,完
完,安,宗
宗,完,官
官,宗,定
定,官,宛
宛,定,害
害,宛,家
家,害,容
容,家,宿
宿,容,寅
寅,宿,寉
寉,寅,察
察,寉,寸
寸,察,寺
寺,寸,寿
寿,寺,専
専,寿,chuyên 1 phẩy
chuyên 1 phẩy,専,射
射,chuyên 1 phẩy,将
将,射,尉
尉,将,尊
尊,尉,小
小,尊,少
少,小,尓
尓,少,尚
尚,尓,尞
尞,尚,尤
尤,尞,尭
尭,尤,就
就,尭,尸
尸,就,尺
尺,尸,尼
尼,尺,居
居,尼,屈
屈,居,屋
屋,屈,属
属,屋,屯
屯,属,屰
屰,屯,山
山,屰,岡
岡,山,巛
巛,岡,川
川,巛,州
州,川,左
左,州,巨
巨,左,己
己,巨,巴
巴,己,巷
巷,巴,巻
巻,巷,巽
巽,巻,市
市,巽,布
布,市,帚
帚,布,帝
帝,帚,帯
帯,帝,干
干,帯,平
平,干,并
并,平,幺
幺,并,幾
幾,幺,广
广,幾,広
広,广,府
府,広,度
度,府,庶
庶,度,延
延,庶,廷
廷,延,建
建,廷,廾
廾,建,开
开,廾,代
代,开,弐
弐,代,式
式,弐,弓
弓,式,弔
弔,弓,弗
弗,弔,弱
弱,弗,彡
彡,弱,彦
彦,彡,従
従,彦,復
復,従,bị đè đánh ở núi
bị đè đánh ở núi,復,必
必,bị đè đánh ở núi,刃
刃,必,志
志,刃,念
念,志,思
思,念,恵
恵,思,愈
愈,恵,意
意,愈,愛
愛,意,感
感,愛,憂
憂,感,戈
戈,憂,戉
戉,戈,戊
戊,戉,戍
戍,戊,成
成,戍,我
我,成,戒
戒,我,戔
戔,戒,戠
戠,戔,戸
戸,戠,戻
戻,戸,才
才,戻,折
折,才,支
支,折,攵
攵,支,放
放,攵,敏
敏,放,敝
敝,敏,敢
敢,敝,敬
敬,敢,文
文,敬,斗
斗,文,斤
斤,斗,斥
斥,斤,斬
斬,斥,新
新,斬,方
方,新,防
防,方,无
无,防,日
日,无,旧
旧,日,旨
旨,旧,早
早,旨,旬
旬,早,明
明,旬,易
易,明,昔
昔,易,昜
昜,昔,星
星,昜,昭
昭,星,是
是,昭,景
景,是,暴
暴,景,曲
曲,暴,更
更,曲,曹
曹,更,曼
曼,曹,曽
曽,曼,替
替,曽,最
最,替,月
月,最,有
有,月,朋
朋,有,朕
朕,朋,朝
朝,朕,木
木,朝,未
未,木,末
末,未,本
本,末,朮
朮,本,朱
朱,朮,朿
朿,朱,束
束,朿,東
東,束,林
林,東,果
果,林,某
某,果,栗
栗,某,楚
楚,栗,楽
楽,楚,欠
欠,楽,次
次,欠,止
止,次,正
正,止,武
武,正,歩
歩,武,死
死,歩,殳
殳,死,段
段,殳,母
母,段,毎
毎,母,比
比,毎,毛
毛,比,氏
氏,毛,氐
氐,氏,民
民,氐,气
气,民,求
求,气,泉
泉,求,波
波,泉,澡
澡,波,火
火,澡,灰
灰,火,炎
炎,灰,為
為,炎,焦
焦,為,然
然,焦,爪
爪,然,爰
爰,爪,片
片,爰,牙
牙,片,牛
牛,牙,犬
犬,牛,玄
玄,犬,玉
玉,玄,瓜
瓜,玉,瓦
瓦,瓜,甘
甘,瓦,匹
匹,甘,生
生,匹,用
用,生,甫
甫,用,甬
甬,甫,田
田,甬,由
由,田,甲
甲,由,申
申,甲,电
电,申,男
男,电,畀
畀,男,畐
畐,畀,留
留,畐,畜
畜,留,番
番,畜,異
異,番,疋
疋,異,疑
疑,疋,疒
疒,疑,疾
疾,疒,発
発,疾,登
登,発,白
白,登,皆
皆,白,皮
皮,皆,皿
皿,皮,監
監,皿,目
目,監,直
直,目,相
相,直,盾
盾,相,県
県,盾,真
真,県,矛
矛,真,矢
矢,矛,知
知,矢,石
石,知,示
示,石,票
票,示,祭
祭,票,禁
禁,祭,禺
禺,禁,禾
禾,禺,秋
秋,禾,穴
穴,秋,空
空,穴,立
立,空,陪
陪,立,竜
竜,陪,竟
竟,竜,章
章,竟,童
童,章,竹
竹,童,米
米,竹,系
系,米,維
維,系,缶
缶,維,网
网,缶,羊
羊,网,義
義,羊,羽
羽,義,2 em chim
2 em chim,羽,老
老,2 em chim,者
者,老,而
而,者,耒
耒,而,耳
耳,耒,聿
聿,耳,肖
肖,聿,育
育,肖,胃
胃,育,胥
胥,胃,能
能,胥,臣
臣,能,自
自,臣,臭
臭,自,至
至,臭,致
致,至,臼
臼,致,舌
舌,臼,舎
舎,舌,舛
舛,舎,舟
舟,舛,般
般,舟,艮
艮,般,良
良,艮,色
色,良,艸
艸,色,苗
苗,艸,右
右,苗,茲
茲,右,荒
荒,茲,莫
莫,荒,蔵
蔵,莫,虍
虍,蔵,虚
虚,虍,虫
虫,虚,血
血,虫,行
行,血,衣
衣,行,衤
衤,衣,表
表,衤,袁
袁,表,襄
襄,袁,西
西,襄,要
要,西,見
見,要,角
角,見,言
言,角,谷
谷,言,豆
豆,谷,豊
豊,豆,豕
豕,豊,象
象,豕,豸
豸,象,貝
貝,豸,頁
頁,貝,化
化,頁,貞
貞,化,貫
貫,貞,責
責,貫,貴
貴,責,賞
賞,貴,走
走,賞,足
足,走,路
路,足,身
身,路,車
車,身,軍
軍,車,辛
辛,軍,辟
辟,辛,辰
辰,辟,農
農,辰,迷
迷,農,百
百,迷,邑
邑,百,郎
郎,邑,郷
郷,郎,酉
酉,郷,釆
釆,酉,采
采,釆,里
里,采,重
重,里,量
量,重,金
金,量,長
長,金,門
門,長,間
間,門,闌
闌,間,隊
隊,闌,隶
隶,隊,隹
隹,隶,隺
隺,隹,隻
隻,隺,雇
雇,隻,雨
雨,雇,需
需,雨,青
青,需,非
非,青,革
革,非,韋
韋,革,音
音,韋,風
風,音,食
食,風,馬
馬,食,骨
骨,馬,高
高,骨,髟
髟,高,鬯
鬯,髟,鬲
鬲,鬯,鬼
鬼,鬲,魚
魚,鬼,鳥
鳥,魚,鹿
鹿,鳥,面
面,鹿,麻
麻,面,黄
黄,麻,黑
黑,黄,鼠
鼠,黑,齊
齊,鼠,齒
齒,齊,龍
龍,齒,龴
龴,龍,龶
龶,龴,龸
龸,龶,㑒
㑒,龸,㓁
㓁,㑒,㕣
㕣,㓁,㠯
㠯,㕣,㦮
㦮,㠯,䍃
䍃,㦮,䒑
䒑,䍃,𠂇
𠂇,䒑,𠂉
𠂉,𠂇,𠂢
𠂢,𠂉,𠂤
𠂤,𠂢,𠦝
𠦝,𠂤,𠫓
𠫓,𠦝,𡗗
𡗗,𠫓,𢦏
𢦏,𡗗,𧘇
𧘇,𢦏,一
一,𧘇,人
人,一,尋
尋,人,降
降,尋,憲
憲,降,円
円,憲,冂
冂,円,0
